Date,Adj Close,Close,High,Low,Open,Volume
,3659.T,3659.T,3659.T,3659.T,3659.T,3659.T
2022-08-30,2771.409912109375,2826.0,2841.0,2783.0,2794.0,1166000
2022-08-31,2735.124755859375,2789.0,2791.0,2758.0,2780.0,1660000
2022-09-01,2688.052001953125,2741.0,2763.0,2714.0,2719.0,1544500
2022-09-02,2605.674560546875,2657.0,2665.0,2568.0,2641.0,2774900
2022-09-05,2779.255126953125,2834.0,2929.0,2675.0,2700.0,6203500
2022-09-06,2778.27490234375,2833.0,2875.0,2795.0,2824.0,1824900
2022-09-07,2749.8349609375,2804.0,2835.0,2752.0,2818.0,1588300
2022-09-08,2793.965576171875,2849.0,2879.0,2818.0,2826.0,2414300
2022-09-09,2770.42919921875,2825.0,2845.0,2811.0,2827.0,3504500
2022-09-12,2773.37158203125,2828.0,2871.0,2816.0,2834.0,1041300
2022-09-13,2749.8349609375,2804.0,2847.0,2797.0,2819.0,1292400
2022-09-14,2625.288330078125,2677.0,2742.0,2668.0,2730.0,2843600
2022-09-15,2610.577880859375,2662.0,2686.0,2640.0,2686.0,1349000
2022-09-16,2538.007568359375,2588.0,2648.0,2573.0,2617.0,2625200
2022-09-20,2524.278076171875,2574.0,2616.0,2536.0,2610.0,1859600
2022-09-21,2539.968994140625,2590.0,2605.0,2557.0,2561.0,2095500
2022-09-22,2498.780517578125,2548.0,2588.0,2529.0,2586.0,1909700
2022-09-26,2432.093994140625,2480.0,2523.0,2467.0,2490.0,2691800
2022-09-27,2480.147216796875,2529.0,2548.0,2489.0,2509.0,2132600
2022-09-28,2453.669189453125,2502.0,2533.0,2465.0,2520.0,2869700
2022-09-29,2512.509765625,2562.0,2598.0,2524.0,2560.0,3845400
2022-09-30,2502.702880859375,2552.0,2578.0,2506.0,2562.0,3035400
2022-10-03,2539.968994140625,2590.0,2603.0,2511.0,2530.0,1631000
2022-10-04,2664.515380859375,2717.0,2737.0,2602.0,2619.0,2443400
2022-10-05,2655.689697265625,2708.0,2729.0,2666.0,2722.0,1692900
2022-10-06,2669.419189453125,2722.0,2759.0,2699.0,2705.0,1188500
2022-10-07,2677.26416015625,2730.0,2741.0,2683.0,2716.0,1972600
2022-10-11,2619.404052734375,2671.0,2728.0,2661.0,2698.0,2017000
2022-10-12,2522.316650390625,2572.0,2680.0,2565.0,2674.0,1611000
2022-10-13,2445.8232421875,2494.0,2585.0,2493.0,2579.0,1280300
2022-10-14,2518.393798828125,2568.0,2589.0,2510.0,2535.0,1975900
2022-10-17,2509.567626953125,2559.0,2566.0,2516.0,2524.0,825000
2022-10-18,2545.852783203125,2596.0,2618.0,2554.0,2602.0,1553200
2022-10-19,2517.412841796875,2567.0,2607.0,2566.0,2607.0,1148600
2022-10-20,2484.070068359375,2533.0,2548.0,2500.0,2535.0,1148800
2022-10-21,2456.610595703125,2505.0,2544.0,2498.0,2538.0,1106300
2022-10-24,2443.862060546875,2492.0,2556.0,2491.0,2528.0,1418700
2022-10-25,2432.093994140625,2480.0,2500.0,2467.0,2500.0,1766000
2022-10-26,2443.862060546875,2492.0,2524.0,2481.0,2500.0,1473600
2022-10-27,2398.75,2446.0,2493.0,2442.0,2482.0,1573300
2022-10-28,2382.079345703125,2429.0,2449.0,2401.0,2417.0,4657900
2022-10-31,2448.765380859375,2497.0,2502.0,2440.0,2445.0,1646700
2022-11-01,2449.74609375,2498.0,2501.0,2469.0,2480.0,1431500
2022-11-02,2416.402587890625,2464.0,2485.0,2452.0,2459.0,1412100
2022-11-04,2368.34912109375,2415.0,2421.0,2357.0,2364.0,2478000
2022-11-07,2369.329833984375,2416.0,2441.0,2399.0,2424.0,1846200
2022-11-08,2416.402587890625,2464.0,2490.0,2435.0,2439.0,1832100
2022-11-09,2308.527587890625,2354.0,2390.0,2323.0,2364.0,3181200
2022-11-10,2425.228759765625,2473.0,2530.0,2369.0,2477.0,6494400
2022-11-11,2510.54833984375,2560.0,2637.0,2550.0,2584.0,3224300
2022-11-14,2554.67919921875,2605.0,2620.0,2531.0,2538.0,1854800
2022-11-15,2614.50048828125,2666.0,2675.0,2598.0,2605.0,1831200
